ID,visitor_id,page_id,date
65549,407269,181956,2025-03-24 16:26:44
65550,407269,181968,2025-03-24 16:26:45
65551,407269,181969,2025-03-24 16:26:46
65552,407270,181934,2025-03-24 16:30:12
65553,407270,181947,2025-03-24 16:31:30
65554,407270,181935,2025-03-24 16:31:12
65555,407271,181934,2025-03-24 16:38:44
65556,407271,181940,2025-03-24 16:39:07
65557,407271,181951,2025-03-24 16:39:41
65558,407272,181934,2025-03-24 16:49:04
65559,407273,181947,2025-03-24 16:51:18
65560,407273,181935,2025-03-24 16:49:44
65561,407274,181940,2025-03-24 16:50:52
65562,407273,181934,2025-03-24 16:51:13
65563,407275,181934,2025-03-24 16:51:15
65564,407274,181941,2025-03-24 16:51:16
65565,407275,181935,2025-03-24 16:51:23
65566,407276,181934,2025-03-24 16:51:54
65567,407277,181934,2025-03-24 17:01:49
65568,407278,181934,2025-03-24 17:05:54
65569,407278,181940,2025-03-24 17:06:07
65570,407279,181934,2025-03-24 17:20:24
65571,407279,181941,2025-03-24 17:21:49
65572,407280,181941,2025-03-24 17:21:50
65573,407280,181936,2025-03-24 17:21:52
65574,407280,181934,2025-03-24 17:22:06
65575,407280,181935,2025-03-24 17:22:08
65576,407281,181934,2025-03-24 17:24:34
65577,407281,181954,2025-03-24 17:24:37
65578,407282,181941,2025-03-24 17:24:49
65579,407281,181935,2025-03-24 17:25:09
65580,407281,181940,2025-03-24 17:25:22
65581,407281,181939,2025-03-24 17:25:32
65582,407283,181934,2025-03-24 17:25:48
65583,407284,181934,2025-03-24 20:19:18
65584,407284,181940,2025-03-24 17:32:05
65585,407285,181935,2025-03-24 17:33:17
65586,407286,181934,2025-03-24 17:38:06
65587,407287,181947,2025-03-24 17:44:33
65588,407287,181948,2025-03-24 17:44:44
65589,407288,181934,2025-03-24 17:46:15
65590,407289,181935,2025-03-24 17:51:14
65591,407290,181970,2025-03-24 17:51:14
65592,407290,181971,2025-03-24 17:51:15
65593,407290,181954,2025-03-24 17:51:33
65594,407289,181939,2025-03-24 17:51:42
65595,407291,181934,2025-03-24 17:52:23
65596,407291,181937,2025-03-24 17:52:46
65597,407292,181934,2025-03-24 17:54:15
65598,407289,181967,2025-03-24 17:59:54
65599,407289,181941,2025-03-24 17:59:54
65600,407293,181934,2025-03-24 18:02:36
65601,407293,181940,2025-03-24 18:02:47
65602,407294,181934,2025-03-24 18:07:11
65603,407295,181934,2025-03-24 18:03:28
65604,407294,181937,2025-03-24 18:03:46
65605,407295,181936,2025-03-24 18:04:16
65606,407296,181934,2025-03-24 18:21:59
65607,407297,181934,2025-03-24 18:44:20
65608,407298,181934,2025-03-24 18:27:06
65609,407299,181934,2025-03-24 18:28:49
65610,407298,181937,2025-03-24 18:38:00
65611,407298,181972,2025-03-24 18:31:16
65612,407299,181935,2025-03-24 18:33:26
65613,407300,181934,2025-03-24 18:33:10
65614,407300,181954,2025-03-24 18:33:17
65615,407301,181934,2025-03-24 18:34:11
65616,407298,181962,2025-03-24 18:37:44
65617,407302,181934,2025-03-24 18:38:04
65618,407298,181963,2025-03-24 18:38:10
65619,407303,181934,2025-03-24 18:38:32
65620,407303,181937,2025-03-24 18:38:42
65621,407302,181939,2025-03-24 18:39:28
65622,407302,181935,2025-03-24 18:40:06
65623,407302,181941,2025-03-24 18:41:09
65624,407297,181947,2025-03-24 18:43:03
65625,407298,181940,2025-03-24 18:44:52
65626,407304,181934,2025-03-24 18:46:08
65627,407305,181967,2025-03-24 18:47:31
65628,407306,181940,2025-03-24 18:49:14
65629,407307,181934,2025-03-24 18:55:53
65630,407305,181934,2025-03-24 18:56:13
65631,407308,181934,2025-03-24 18:59:41
65632,407309,181934,2025-03-24 18:59:58
65633,407310,181934,2025-03-24 19:00:04
65634,407309,181937,2025-03-24 19:00:16
65635,407311,181934,2025-03-24 19:01:12
65636,407310,181935,2025-03-24 19:01:25
65637,407311,181954,2025-03-24 19:01:26
65638,407310,181939,2025-03-24 19:01:53
65639,407312,181934,2025-03-24 19:03:09
65640,407310,181949,2025-03-24 19:02:40
65641,407313,181934,2025-03-24 19:05:28
65642,407314,181934,2025-03-24 19:05:51
65643,407313,181947,2025-03-24 19:05:53
65644,407313,181935,2025-03-24 19:06:27
65645,407315,181934,2025-03-24 21:04:33
65646,407316,181934,2025-03-24 19:11:03
65647,407317,181934,2025-03-24 19:11:32
65648,407317,181949,2025-03-24 19:12:11
65649,407318,181934,2025-03-24 19:13:37
65650,407319,181934,2025-03-24 19:17:04
65651,407319,181939,2025-03-24 19:17:11
65652,407320,181935,2025-03-24 19:19:02
65653,407321,181934,2025-03-24 19:22:55
65654,407322,181934,2025-03-24 20:46:50
65655,407323,181934,2025-03-24 19:27:11
65656,407322,181940,2025-03-24 19:24:03
65657,407323,181935,2025-03-24 19:26:31
65658,407322,181935,2025-03-24 19:24:58
